rank,city,editions_count
1,Paris,98
2,London,63
3,Venezia,53
4,Lyon,43
5,s.l. (Germany),40
6,Leipzig,31
7,Antwerpen,24
8,Köln,21
9,Basel,20
10,Nürnberg,20
11,Roma,20
12,Wittenberg,19
13,Leiden,18
14,s.l. (France),18
15,Madrid,16
16,Frankfurt am Main,16
17,Strasbourg,14
18,s.l. (Spain),13
19,Amsterdam,13
20,Jena,12
21,Genève,12
22,Rouen,12
23,Napoli,11
24,Rostock,10
25,Milano,9
26,Helmstedt,9
27,Firenze,9
28,Zürich,8
29,Brescia,8
30,Erfurt,8
31,s.l. (Northern Netherlands),8
32,Douai,7
33,Augsburg,7
34,Hamburg,7
35,Bologna,7
36,Dresden,7
37,Sevilla,7
38,Lisboa,7
39,Magdeburg,6
40,Toulouse,6
41,Tübingen,6
42,Ingolstadt,5
43,Mainz,5
44,Bordeaux,5
45,Torino,4
46,Frankfurt an der Oder,4
47,Leuven,4
48,Lübeck,4
49,Wolfenbüttel,4
50,København,4
51,München,4
52,Delft,4
53,Franeker,4
54,Barcelona,4
55,s.l. (Italy),4
56,Utrecht,4
57,Mons,3
58,Mexico City,3
59,Alcalá de Henares,3
60,Deventer,3
61,Treviso,3
62,s.l. (Southern Netherlands),3
63,Coimbra,3
64,Gent,3
65,Coburg,3
66,Tours,3
67,Valladolid,3
68,Valencia,3
69,Uppsala,3
70,Giessen,3
71,Kraków,3
72,Königsberg,3
73,Halle,3
74,Salamanca,3
75,Dillingen,3
76,Piacenza,2
77,Heidelberg,2
78,Vilnius,2
79,Cambridge,2
80,Oxford,2
81,Goslar,2
82,Vicenza,2
83,Greifswald,2
84,Ferrara,2
85,Haarlem,2
86,Camerino,2
87,Bruxelles,2
88,Freiburg im Breisgau,2
89,Nysa,2
90,Stuttgart,2
91,Zerbst,2
92,Dublin,2
93,Toledo,2
94,Reims,2
95,Cagliari,2
96,Freiberg,2
97,Schmalkalden,2
98,Burgos,2
99,Den Haag,2
100,Pamplona,2
101,Perugia,2
102,Edinburgh,2
103,Arnhem,2
104,Wien,2
105,Siena,2
106,s.l. (England),2
107,Marburg,2
108,Braunschweig,2
109,Granada,2
110,Orléans,2
111,Weimar,1
112,Zittau,1
113,Montbéliard,1
114,Rennes,1
115,Poitiers,1
116,Caen,1
117,Kleve,1
118,Casale Monferrato,1
119,Genova,1
120,Bremen,1
121,Hlohovec,1
122,Rinteln,1
123,Parma,1
124,Głogów,1
125,Eisleben,1
126,Liège,1
127,Mühlhausen,1
128,Emden,1
129,Oleśnica,1
130,Vibo Valenzia,1
131,Padova,1
132,Regensburg,1
133,Lauingen,1
134,Pistoia,1
135,Modena,1
136,Zaragoza,1
137,Sedan,1
138,Dôle,1
139,Jaén,1
140,Tournon,1
141,Groningen,1
142,Bern,1
143,Vienne,1
144,Worms,1
145,Saumur,1
146,Cuneo,1
147,Angers,1
148,Salzburg,1
149,Wrocław,1
150,Rimini,1
151,Verona,1
152,Rotterdam,1
153,Avignon,1
154,Aix-en-Provence,1
155,Amberg,1
156,Bourges,1
157,Stockholm,1
158,Troyes,1
159,Düsseldorf,1
160,Landshut,1
161,Lich,1
162,s.l. (Sweden),1
163,Middelburg,1
164,Turku,1
165,Brno,1
166,Halberstadt,1
167,Verdun,1
168,Praha,1
169,Berlin,1
170,Lille,1
171,Legnica,1
172,Hanau,1
173,Schleusingen,1
174,Debrecen,1
175,Mikulov,1
176,S.l. (Czechia),1
177,Udine,1
